,NOC_CNP,NOC_Title_eng,prov,ER_Code_Code_RE,ER_Name,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Average_Wage_Salaire_Moyen,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Non_WageBen_pct
11789,NOC_31110,Dentists,NS,ER12,Nova Scotia,,126000.0,,138000.0,2024-12-03,1,
11794,NOC_31110,Dentists,NS,ER1250,Halifax,,159000.0,,142000.0,2024-12-03,1,
11795,NOC_31110,Dentists,NB,ER13,New Brunswick,,132000.0,,152000.0,2024-12-03,1,
11801,NOC_31110,Dentists,QC,ER24,Quebec,32389.0,106000.0,228000.0,122600.0,2024-12-03,1,
11804,NOC_31110,Dentists,QC,ER2420,Capitale-Nationale,,129000.0,,138000.0,2024-12-03,1,
11805,NOC_31110,Dentists,QC,ER2425,Chaudière-Appalaches,,46800.0,,92000.0,2024-12-03,1,
11808,NOC_31110,Dentists,QC,ER2435,Montérégie,32400.0,96000.0,188000.0,109000.0,2024-12-03,1,
11809,NOC_31110,Dentists,QC,ER2440,Montréal,32389.0,111000.0,306000.0,134000.0,2024-12-03,1,
11810,NOC_31110,Dentists,QC,ER2445,Laval,,90000.0,,88000.0,2024-12-03,1,
11811,NOC_31110,Dentists,QC,ER2450,Lanaudière,,108000.0,,120000.0,2024-12-03,1,
11812,NOC_31110,Dentists,QC,ER2455,Laurentides,,121000.0,,130000.0,2024-12-03,1,
11819,NOC_31110,Dentists,ON,ER35,Ontario,36708.0,104000.0,210000.0,118900.0,2024-12-03,1,
11820,NOC_31110,Dentists,ON,ER3510,Ottawa,36708.0,122000.0,244000.0,120000.0,2024-12-03,1,
11821,NOC_31110,Dentists,ON,ER3515,Kingston--Pembroke,,133000.0,,148000.0,2024-12-03,1,
11822,NOC_31110,Dentists,ON,ER3520,Muskoka--Kawarthas,,137000.0,,140000.0,2024-12-03,1,
11823,NOC_31110,Dentists,ON,ER3530,Toronto,36708.0,100000.0,200000.0,116700.0,2024-12-03,1,
11824,NOC_31110,Dentists,ON,ER3540,Kitchener--Waterloo--Barrie,,105000.0,,140000.0,2024-12-03,1,
11825,NOC_31110,Dentists,ON,ER3550,Hamilton--Niagara Peninsula,,108000.0,,111000.0,2024-12-03,1,
11826,NOC_31110,Dentists,ON,ER3560,London,,81000.0,,94000.0,2024-12-03,1,
11827,NOC_31110,Dentists,ON,ER3570,Windsor--Sarnia,,118000.0,,124000.0,2024-12-03,1,
11829,NOC_31110,Dentists,ON,ER3590,Northeast,,102000.0,,112000.0,2024-12-03,1,
11831,NOC_31110,Dentists,MB,ER46,Manitoba,,116000.0,,124000.0,2024-12-03,1,
11836,NOC_31110,Dentists,MB,ER4650,Winnipeg,,116000.0,,122000.0,2024-12-03,1,
11840,NOC_31110,Dentists,SK,ER47,Saskatchewan,,110000.0,,104000.0,2024-12-03,1,
11843,NOC_31110,Dentists,SK,ER4730,Saskatoon--Biggar,,90000.0,,92000.0,2024-12-03,1,
11847,NOC_31110,Dentists,AB,ER48,Alberta,32867.0,120000.0,270000.0,146000.0,2024-12-03,1,
11848,NOC_31110,Dentists,AB,ER4810,Lethbridge--Medicine Hat,,95000.0,,175000.0,2024-12-03,1,
11850,NOC_31110,Dentists,AB,ER4830,Calgary,32867.0,113000.0,222000.0,131000.0,2024-12-03,1,
11853,NOC_31110,Dentists,AB,ER4860,Edmonton,44800.0,147000.0,332000.0,162000.0,2024-12-03,1,
11854,NOC_31110,Dentists,AB,ER4870,Athabasca--Grande Prairie--Peace River,,118000.0,,170000.0,2024-12-03,1,
11856,NOC_31110,Dentists,BC,ER59,British Columbia,36973.0,84000.0,214000.0,98000.0,2024-12-03,1,
11857,NOC_31110,Dentists,BC,ER5910,Vancouver Island and Coast,,124000.0,,124000.0,2024-12-03,1,
11858,NOC_31110,Dentists,BC,ER5920,Lower Mainland,36973.0,78000.0,196000.0,93200.0,2024-12-03,1,
11859,NOC_31110,Dentists,BC,ER5930,Thompson--Okanagan,,112000.0,,104000.0,2024-12-03,1,
11868,NOC_31111,Optometrists,NAT,ER00,Canada,32360.0,81000.0,162000.0,89300.0,2024-12-03,1,
11875,NOC_31111,Optometrists,NS,ER12,Nova Scotia,,85000.0,,96000.0,2024-12-03,1,
11887,NOC_31111,Optometrists,QC,ER24,Quebec,32389.0,97000.0,178000.0,98800.0,2024-12-03,1,
11894,NOC_31111,Optometrists,QC,ER2435,Montérégie,,110000.0,,100000.0,2024-12-03,1,
11895,NOC_31111,Optometrists,QC,ER2440,Montréal,,82000.0,,88000.0,2024-12-03,1,
11905,NOC_31111,Optometrists,ON,ER35,Ontario,36708.0,78000.0,156000.0,85400.0,2024-12-03,1,
11906,NOC_31111,Optometrists,ON,ER3510,Ottawa,,83000.0,,100000.0,2024-12-03,1,
11909,NOC_31111,Optometrists,ON,ER3530,Toronto,36708.0,69500.0,162000.0,80800.0,2024-12-03,1,
11910,NOC_31111,Optometrists,ON,ER3540,Kitchener--Waterloo--Barrie,,76500.0,,84000.0,2024-12-03,1,
11911,NOC_31111,Optometrists,ON,ER3550,Hamilton--Niagara Peninsula,,80000.0,,92000.0,2024-12-03,1,
11913,NOC_31111,Optometrists,ON,ER3570,Windsor--Sarnia,,103000.0,,116000.0,2024-12-03,1,
11917,NOC_31111,Optometrists,MB,ER46,Manitoba,,119000.0,,112000.0,2024-12-03,1,
11922,NOC_31111,Optometrists,MB,ER4650,Winnipeg,,135000.0,,110000.0,2024-12-03,1,
11926,NOC_31111,Optometrists,SK,ER47,Saskatchewan,,68500.0,,64000.0,2024-12-03,1,
11933,NOC_31111,Optometrists,AB,ER48,Alberta,32867.0,84000.0,178000.0,92000.0,2024-12-03,1,
11936,NOC_31111,Optometrists,AB,ER4830,Calgary,,83000.0,,98000.0,2024-12-03,1,
11939,NOC_31111,Optometrists,AB,ER4860,Edmonton,,81000.0,,71000.0,2024-12-03,1,
11942,NOC_31111,Optometrists,BC,ER59,British Columbia,36973.0,69500.0,145000.0,77000.0,2024-12-03,1,
11943,NOC_31111,Optometrists,BC,ER5910,Vancouver Island and Coast,,74500.0,,84000.0,2024-12-03,1,
11944,NOC_31111,Optometrists,BC,ER5920,Lower Mainland,,67500.0,,72000.0,2024-12-03,1,
12298,NOC_31201,Chiropractors,NAT,ER00,Canada,32360.0,62000.0,138000.0,71600.0,2024-12-03,1,
12305,NOC_31201,Chiropractors,NS,ER12,Nova Scotia,,65000.0,,50000.0,2024-12-03,1,
12311,NOC_31201,Chiropractors,NB,ER13,New Brunswick,,62400.0,,60000.0,2024-12-03,1,
12317,NOC_31201,Chiropractors,QC,ER24,Quebec,32389.0,68000.0,140000.0,74000.0,2024-12-03,1,
12320,NOC_31201,Chiropractors,QC,ER2420,Capitale-Nationale,,66500.0,,92000.0,2024-12-03,1,
12324,NOC_31201,Chiropractors,QC,ER2435,Montérégie,,62800.0,,66000.0,2024-12-03,1,
12325,NOC_31201,Chiropractors,QC,ER2440,Montréal,,44400.0,,46000.0,2024-12-03,1,
12327,NOC_31201,Chiropractors,QC,ER2450,Lanaudière,,93000.0,,85000.0,2024-12-03,1,
12328,NOC_31201,Chiropractors,QC,ER2455,Laurentides,,67000.0,,66000.0,2024-12-03,1,
12332,NOC_31201,Chiropractors,QC,ER2475,Saguenay--Lac-Saint-Jean,,135000.0,,130000.0,2024-12-03,1,
12335,NOC_31201,Chiropractors,ON,ER35,Ontario,36708.0,61200.0,137000.0,71700.0,2024-12-03,1,
12336,NOC_31201,Chiropractors,ON,ER3510,Ottawa,,72500.0,,90000.0,2024-12-03,1,
12339,NOC_31201,Chiropractors,ON,ER3530,Toronto,36708.0,61200.0,143000.0,72000.0,2024-12-03,1,
12340,NOC_31201,Chiropractors,ON,ER3540,Kitchener--Waterloo--Barrie,,67500.0,,67000.0,2024-12-03,1,
12341,NOC_31201,Chiropractors,ON,ER3550,Hamilton--Niagara Peninsula,36708.0,61600.0,125000.0,62800.0,2024-12-03,1,
12342,NOC_31201,Chiropractors,ON,ER3560,London,,50800.0,,67000.0,2024-12-03,1,
12343,NOC_31201,Chiropractors,ON,ER3570,Windsor--Sarnia,,60800.0,,78000.0,2024-12-03,1,
12345,NOC_31201,Chiropractors,ON,ER3590,Northeast,,48000.0,,60000.0,2024-12-03,1,
12347,NOC_31201,Chiropractors,MB,ER46,Manitoba,,91000.0,,98000.0,2024-12-03,1,
12352,NOC_31201,Chiropractors,MB,ER4650,Winnipeg,,90000.0,,92000.0,2024-12-03,1,
12356,NOC_31201,Chiropractors,SK,ER47,Saskatchewan,,57200.0,,52000.0,2024-12-03,1,
12363,NOC_31201,Chiropractors,AB,ER48,Alberta,32867.0,53600.0,134000.0,65600.0,2024-12-03,1,
12366,NOC_31201,Chiropractors,AB,ER4830,Calgary,32867.0,42800.0,134000.0,68500.0,2024-12-03,1,
12369,NOC_31201,Chiropractors,AB,ER4860,Edmonton,,70000.0,,71000.0,2024-12-03,1,
12372,NOC_31201,Chiropractors,BC,ER59,British Columbia,36973.0,60000.0,130000.0,71200.0,2024-12-03,1,
12373,NOC_31201,Chiropractors,BC,ER5910,Vancouver Island and Coast,,60000.0,,66000.0,2024-12-03,1,
12374,NOC_31201,Chiropractors,BC,ER5920,Lower Mainland,36973.0,60000.0,138000.0,69500.0,2024-12-03,1,
12375,NOC_31201,Chiropractors,BC,ER5930,Thompson--Okanagan,,54800.0,,72000.0,2024-12-03,1,
