2024 Taxable Income,Other Income,Capital Gains (All Pre–Jun 25),Capital Gains (>$250K Post–Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
47000,25.8,12.9,17.2,3.84,18.38
55867,27.75,13.88,18.5,6.53,20.63
100000,33.25,16.63,22.17,14.12,26.95
111733,37.9,18.95,25.27,20.53,32.3
173205,43.4,21.7,28.93,28.12,38.62
246752,46.72,23.36,31.15,32.71,42.44
