2024 Taxable Income,Other Income,Capital Gains (All Pre–Jun 25),Capital Gains (>$250K Post–Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
52057,25.5,12.75,17.0,-0.72,16.04
55867,27.5,13.75,18.33,2.04,18.34
111733,33.0,16.5,22.0,9.63,24.67
148734,38.5,19.25,25.67,17.22,30.99
173205,40.5,20.25,27.0,19.98,33.29
246752,43.82,21.91,29.21,24.56,37.11
