2024 Taxable Income,Other Income,Capital Gains (All Pre–Jun 25),Capital Gains (>$250K Post–Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
49958,24.4,12.2,16.27,-6.38,14.51
55867,29.0,14.5,19.33,-0.03,19.8
99916,34.5,17.25,23.0,7.56,26.13
111733,36.5,18.25,24.33,10.32,28.43
173205,42.0,21.0,28.0,17.91,34.75
185064,45.32,22.66,30.21,22.49,38.57
246752,48.82,24.41,32.55,27.32,42.6
