2024 Taxable Income,Other Income,Capital Gains (All Pre–Jun 25),Capital Gains (>$250K Post–Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
32656,24.65,12.33,16.43,-1.2,16.47
55867,28.63,14.32,19.09,4.29,21.04
64313,34.13,17.07,22.75,11.88,27.37
105000,37.15,18.58,24.77,16.05,30.84
111733,38.5,19.25,25.67,17.91,32.4
140000,44.0,22.0,29.33,25.5,38.72
173205,44.75,22.38,26.54,29.83,39.58
246752,48.07,24.04,32.05,31.12,43.4
